sheet,year,currentBoundariesImports,currentBoundariesImports_state,currentBoundariesExports,currentBoundariesExports_state,boundaries1913Imports,boundaries1913Imports_state,boundaries1913Exports,boundaries1913Exports_state
Current prices,1890,250.18764073054788,,209.77271415099784,,250.18764073054788,,209.77271415099784,
Current prices,1891,262.6865671641791,,211.45883485796824,,262.6865671641791,,211.45883485796824,
Current prices,1892,228.7568996346109,,199.79786985928632,,228.7568996346109,,199.79786985928632,
Current prices,1893,234.51558599872294,,191.94675025638048,,234.51558599872294,,191.94675025638048,
Current prices,1894,232.80690835537575,,180.48856387116848,,232.80690835537575,,180.48856387116848,
Current prices,1895,250.35390850737875,,191.789322628813,,250.35390850737875,,191.789322628813,
Current prices,1896,266.3115845539281,,203.40029718829,,266.3115845539281,,203.40029718829,
Current prices,1897,266.4151379237329,,205.9712410248513,,266.4151379237329,,205.9712410248513,
Current prices,1898,279.00005764464004,,216.35954883461753,,279.00005764464004,,216.35954883461753,
Current prices,1899,303.15286685541497,,233.04635889139269,,303.15286685541497,,233.04635889139269,
Current prices,1900,309.92455020313406,,247.82356355194426,,309.92455020313406,,247.82356355194426,
Current prices,1901,304.68068611299543,,226.37852505087702,,304.68068611299543,,226.37852505087702,
Current prices,1902,333.94708789611394,,238.0075588719837,,333.94708789611394,,238.0075588719837,
Current prices,1903,372.19601424857996,,257.8222778473091,,372.19601424857996,,257.8222778473091,
Current prices,1904,388.0770347430562,,262.8471886189877,,388.0770347430562,,262.8471886189877,
Current prices,1905,416.94948123727335,,271.1141277998642,,416.94948123727335,,271.1141277998642,
Current prices,1906,454.29256594724217,,324.22062350119904,,454.29256594724217,,324.22062350119904,
Current prices,1907,503.58318806895215,,331.2027890761185,,503.58318806895215,,331.2027890761185,
Current prices,1908,429.7744652018198,,286.903494337431,,429.7744652018198,,286.903494337431,
Current prices,1909,466.0550458715596,,302.07629164654753,,466.0550458715596,,302.07629164654753,
Current prices,1910,500.38372985418266,,333.0775134305449,,500.38372985418266,,333.0775134305449,
Current prices,1911,533.1412103746397,,356.388088376561,,533.1412103746397,,356.388088376561,
Current prices,1912,579.5879252515572,,408.0498322951605,,579.5879252515572,,408.0498322951605,
Current prices,1913,593.6456444995706,,385.0777597557485,,593.6456444995706,,385.0777597557485,
Current prices,1914,,blank,,blank,,blank,,blank
Current prices,1915,,blank,,blank,,blank,,blank
Current prices,1916,,blank,,blank,,blank,,blank
Current prices,1917,,blank,,blank,,blank,,blank
Current prices,1918,,blank,,blank,,blank,,blank
Current prices,1919,426.32084534101824,,133.81364073006725,,426.32084534101824,,133.81364073006725,
Current prices,1920,754.4131644999999,,430.778509,,754.4131644999999,,430.778509,
Current prices,1921,603.1033454,,383.9626148,,603.1033454,,383.9626148,
Current prices,1922,706.3415544000001,,504.42016800000005,,706.3415544000001,,504.42016800000005,
Current prices,1923,636.1086227999999,,459.42916599999995,,636.1086227999999,,459.42916599999995,
Current prices,1924,762.2814850000001,,585.7750913,,762.2814850000001,,585.7750913,
Current prices,1925,777.1115664,,644.5152396,,777.1115664,,644.5152396,
Current prices,1926,670.666701,,586.444203,,670.666701,,586.444203,
Current prices,1927,737.0336,,663.5025999999999,,737.0336,,663.5025999999999,
Current prices,1928,788.5469999999999,,756.6603999999999,,788.5469999999999,,756.6603999999999,
Current prices,1929,899.9694,,797.7765999999999,,899.9694,,797.7765999999999,
Current prices,1930,793.1062,,685.5201999999999,,793.1062,,685.5201999999999,
Current prices,1931,597.0605999999999,,581.5482,,597.0605999999999,,581.5482,
Current prices,1932,427.9532,,386.78139999999996,,427.9532,,386.78139999999996,
Current prices,1933,505.6371612903225,,477.4067096774193,,505.6371612903225,,477.4067096774193,
Current prices,1934,616.6742295970199,,617.6627158821536,,616.6742295970199,,617.6627158821536,
Current prices,1935,579.1457839485269,,533.6776159837453,,579.1457839485269,,533.6776159837453,
Current prices,1936,665.4588554012868,,607.2807314595326,,665.4588554012868,,607.2807314595326,
Current prices,1937,847.4432780223501,,790.6197087707416,,847.4432780223501,,790.6197087707416,
Current prices,1938,708.0257365391127,,665.1202167287504,,708.0257365391127,,665.1202167287504,
Constant prices,1800,,blank,,blank,,blank,,blank
Constant prices,1801,,blank,,blank,,blank,,blank
Constant prices,1802,,blank,,blank,,blank,,blank
Constant prices,1803,,blank,,blank,,blank,,blank
Constant prices,1804,,blank,,blank,,blank,,blank
Constant prices,1805,,blank,,blank,,blank,,blank
Constant prices,1806,,blank,,blank,,blank,,blank
Constant prices,1807,,blank,,blank,,blank,,blank
Constant prices,1808,,blank,,blank,,blank,,blank
Constant prices,1809,,blank,,blank,,blank,,blank
Constant prices,1810,,blank,,blank,,blank,,blank
Constant prices,1811,,blank,,blank,,blank,,blank
Constant prices,1812,,blank,,blank,,blank,,blank
Constant prices,1813,,blank,,blank,,blank,,blank
Constant prices,1814,,blank,,blank,,blank,,blank
Constant prices,1815,,blank,,blank,,blank,,blank
Constant prices,1816,,blank,,blank,,blank,,blank
Constant prices,1817,,blank,,blank,,blank,,blank
Constant prices,1818,,blank,,blank,,blank,,blank
Constant prices,1819,,blank,,blank,,blank,,blank
Constant prices,1820,,blank,,blank,,blank,,blank
Constant prices,1821,,blank,,blank,,blank,,blank
Constant prices,1822,,blank,,blank,,blank,,blank
Constant prices,1823,,blank,,blank,,blank,,blank
Constant prices,1824,,blank,,blank,,blank,,blank
Constant prices,1825,,blank,,blank,,blank,,blank
Constant prices,1826,,blank,,blank,,blank,,blank
Constant prices,1827,,blank,,blank,,blank,,blank
Constant prices,1828,,blank,,blank,,blank,,blank
Constant prices,1829,,blank,,blank,,blank,,blank
Constant prices,1830,15.390558282422317,,11.70167058323605,,15.390558282422317,,11.70167058323605,
Constant prices,1831,16.200587665707705,,12.317547982353737,,16.200587665707705,,12.317547982353737,
Constant prices,1832,34.86082332434779,,14.645130554986656,,34.86082332434779,,14.645130554986656,
Constant prices,1833,32.50774151680703,,14.797697191743529,,32.50774151680703,,14.797697191743529,
Constant prices,1834,28.55270177864265,,16.644236083755683,,28.55270177864265,,16.644236083755683,
Constant prices,1835,27.296309819861175,,20.011326029074834,,27.296309819861175,,20.011326029074834,
Constant prices,1836,29.260073116254055,,20.385369506253806,,29.260073116254055,,20.385369506253806,
Constant prices,1837,31.027460083007664,,18.14110864317999,,31.027460083007664,,18.14110864317999,
Constant prices,1838,32.00934173120411,,21.694521676380194,,32.00934173120411,,21.694521676380194,
Constant prices,1839,27.492686149500457,,18.702173858948445,,27.492686149500457,,18.702173858948445,
Constant prices,1840,32.79484704976126,,18.889195597537924,,32.79484704976126,,18.889195597537924,
Constant prices,1841,32.99122337940056,,21.507499937790712,,32.99122337940056,,21.507499937790712,
Constant prices,1842,35.7404919943506,,20.198347767664316,,35.7404919943506,,20.198347767664316,
Constant prices,1843,34.169481357236286,,22.442608630738132,,34.169481357236286,,22.442608630738132,
Constant prices,1844,30.83108375336837,,25.434956448169885,,30.83108375336837,,25.434956448169885,
Constant prices,1845,37.311502631464904,,26.74410861829628,,37.311502631464904,,26.74410861829628,
Constant prices,1846,35.544115664711306,,26.183043402527826,,35.544115664711306,,26.183043402527826,
Constant prices,1847,37.11512630182562,,30.110499912907,,37.11512630182562,,30.110499912907,
Constant prices,1848,32.99122337940056,,26.55708687970679,,32.99122337940056,,26.55708687970679,
Constant prices,1849,36.32962098326846,,32.72880425315979,,36.32962098326846,,32.72880425315979,
Constant prices,1850,36.32962098326846,,36.46923902494947,,36.32962098326846,,36.46923902494947,
Constant prices,1851,39.275265927857795,,36.28221728635998,,39.275265927857795,,36.28221728635998,
Constant prices,1852,48.89770608018296,,42.079891182634,,48.89770608018296,,42.079891182634,
Constant prices,1853,44.38105049847932,,49.373738987623895,,44.38105049847932,,49.373738987623895,
Constant prices,1854,49.29045873946152,,61.34313025735091,,49.29045873946152,,61.34313025735091,
Constant prices,1855,50.468716717297276,,50.495869419160805,,50.468716717297276,,50.495869419160805,
Constant prices,1856,55.57450128791879,,53.30119549800307,,55.57450128791879,,53.30119549800307,
Constant prices,1857,60.87666218817959,,59.84695634863501,,60.87666218817959,,59.84695634863501,
Constant prices,1858,64.01868346240819,,58.724825917098116,,64.01868346240819,,58.724825917098116,
Constant prices,1859,67.35708106627614,,60.782065041582435,,67.35708106627614,,60.782065041582435,
Constant prices,1860,69.7135970219476,,71.25528240259358,,69.7135970219476,,71.25528240259358,
Constant prices,1861,73.4447472850941,,67.51484763080389,,73.4447472850941,,67.51484763080389,
Constant prices,1862,71.87373664797977,,71.81634761836202,,71.87373664797977,,71.81634761836202,
Constant prices,1863,75.99763957040484,,74.24763022002533,,75.99763957040484,,74.24763022002533,
Constant prices,1864,85.42370339309072,,79.85828237770986,,85.42370339309072,,79.85828237770986,
Constant prices,1865,94.06426189721945,,80.23232585488883,,94.06426189721945,,80.23232585488883,
Constant prices,1866,96.22440152325161,,83.41169541091007,,96.22440152325161,,83.41169541091007,
Constant prices,1867,100.74105710495527,,82.47658671796265,,100.74105710495527,,82.47658671796265,
Constant prices,1868,110.16712092764115,,86.21702148975234,,110.16712092764115,,86.21702148975234,
Constant prices,1869,128.0373669248164,,92.38873886320533,,128.0373669248164,,92.38873886320533,
Constant prices,1870,137.4634307475023,,96.87726058935294,,137.4634307475023,,96.87726058935294,
Constant prices,1871,170.84740678618144,,119.50689095868059,,170.84740678618144,,119.50689095868059,
Constant prices,1872,177.72057832355654,,118.38476052714364,,177.72057832355654,,118.38476052714364,
Constant prices,1873,177.32782566427795,,117.26263009560674,,177.32782566427795,,117.26263009560674,
Constant prices,1874,169.47277247870642,,123.43434746905973,,169.47277247870642,,123.43434746905973,
Constant prices,1875,201.67849053954978,,121.3771083445754,,201.67849053954978,,121.3771083445754,
Constant prices,1876,170.25827779726353,,110.71686924497477,,170.25827779726353,,110.71686924497477,
Constant prices,1877,169.4727724787064,,122.31221703752283,,169.4727724787064,,122.31221703752283,
Constant prices,1878,179.48796529031011,,122.68626051470179,,179.48796529031011,,122.68626051470179,
Constant prices,1879,183.02273922381735,,130.16713005828117,,183.02273922381735,,130.16713005828117,
Constant prices,1880,197.55458761712472,,134.28160830724983,,197.55458761712472,,134.28160830724983,
Constant prices,1881,191.07416873902818,,148.1212169628717,,191.07416873902818,,148.1212169628717,
Constant prices,1882,206.9806514398106,,156.35017346080903,,206.9806514398106,,156.35017346080903,
Constant prices,1883,217.97772589961076,,168.88062994630445,,217.97772589961076,,168.88062994630445,
Constant prices,1884,199.12559825423907,,172.62106471809417,,199.12559825423907,,172.62106471809417,
Constant prices,1885,193.43068469469964,,172.05999950232567,,193.43068469469964,,172.05999950232567,
Constant prices,1886,196.96545862820685,,176.7355429670628,,196.96545862820685,,176.7355429670628,
Constant prices,1887,209.72992005476067,,187.20876032807394,,209.72992005476067,,187.20876032807394,
Constant prices,1888,221.90525249239658,,180.85002121603148,,221.90525249239658,,180.85002121603148,
Constant prices,1889,222.887134140593,,209.4643472202226,,222.887134140593,,209.4643472202226,
Constant prices,1890,239.57912215993258,,207.0330646185593,,239.57912215993258,,207.0330646185593,
Constant prices,1891,251.75445459756853,,206.09795592561187,,251.75445459756853,,206.09795592561187,
Constant prices,1892,233.09870328183604,,202.91858636959066,,233.09870328183604,,202.91858636959066,
Constant prices,1893,248.023304334422,,201.79645593805375,,248.023304334422,,201.79645593805375,
Constant prices,1894,262.3587763980901,,199.92623855215885,,262.3587763980901,,199.92623855215885,
Constant prices,1895,281.01452771382253,,214.13989068495968,,281.01452771382253,,214.13989068495968,
Constant prices,1896,301.04491333703004,,226.85736890904465,,301.04491333703004,,226.85736890904465,
Constant prices,1897,303.2050529630622,,233.40312975967657,,303.2050529630622,,233.40312975967657,
Constant prices,1898,314.594880082141,,243.12826016632977,,314.594880082141,,243.12826016632977,
Constant prices,1899,333.2506313978734,,246.68167319953,,333.2506313978734,,246.68167319953,
Constant prices,1900,323.2354385862697,,247.6167818924774,,323.2354385862697,,247.6167818924774,
Constant prices,1901,324.6100728937447,,235.27334714557145,,324.6100728937447,,235.27334714557145,
Constant prices,1902,354.066522339638,,245.93358624517205,,354.066522339638,,245.93358624517205,
Constant prices,1903,386.46861673012074,,265.3838470584784,,386.46861673012074,,265.3838470584784,
Constant prices,1904,397.07293853064226,,272.6776948634683,,397.07293853064226,,272.6776948634683,
Constant prices,1905,431.6351725471572,,283.15091222447944,,431.6351725471572,,283.15091222447944,
Constant prices,1906,451.2728055110862,,329.15825991749267,,451.2728055110862,,329.15825991749267,
Constant prices,1907,483.08577091265096,,330.0933686104401,,483.08577091265096,,330.0933686104401,
Constant prices,1908,442.2394943476788,,310.0820425813652,,442.2394943476788,,310.0820425813652,
Constant prices,1909,478.9618679902258,,302.41415129919636,,478.9618679902258,,302.41415129919636,
Constant prices,1910,512.1494676992656,,324.669738191345,,512.1494676992656,,324.669738191345,
Constant prices,1911,549.2645940010913,,350.4787381166938,,549.2645940010913,,350.4787381166938,
Constant prices,1912,576.3645274913133,,400.0394988429072,,576.3645274913133,,400.0394988429072,
Constant prices,1913,593.6456444995706,,385.0777597557485,,593.6456444995706,,385.0777597557485,
Constant prices,1914,,blank,,blank,,blank,,blank
Constant prices,1915,,blank,,blank,,blank,,blank
Constant prices,1916,,blank,,blank,,blank,,blank
Constant prices,1917,,blank,,blank,,blank,,blank
Constant prices,1918,,blank,,blank,,blank,,blank
Constant prices,1919,301.24128966666933,,78.73615194617294,,301.24128966666933,,78.73615194617294,
Constant prices,1920,483.871276231208,,206.84604287996981,,483.871276231208,,206.84604287996981,
Constant prices,1921,443.024999666236,,224.05204283020234,,443.024999666236,,224.05204283020234,
Constant prices,1922,607.9811165632386,,371.2381511001267,,607.9811165632386,,371.2381511001267,
Constant prices,1923,577.7391617987882,,406.95930317071816,,577.7391617987882,,406.95930317071816,
Constant prices,1924,644.5071138761465,,482.8901290380488,,644.5071138761465,,482.8901290380488,
Constant prices,1925,593.2528918402921,,472.6039334156273,,593.2528918402921,,472.6039334156273,
Constant prices,1926,597.965923751635,,527.5883245609356,,597.965923751635,,527.5883245609356,
Constant prices,1927,637.8303186684108,,576.5880200713805,,637.8303186684108,,576.5880200713805,
Constant prices,1928,729.1453119506801,,629.8892155693836,,729.1453119506801,,629.8892155693836,
Constant prices,1929,808.2849727953136,,642.2326503162897,,808.2849727953136,,642.2326503162897,
Constant prices,1930,797.2878983355132,,592.6718895900761,,797.2878983355132,,592.6718895900761,
Constant prices,1931,773.1336097898808,,570.603324436517,,773.1336097898808,,570.603324436517,
Constant prices,1932,646.863629831818,,461.7566725774372,,646.863629831818,,461.7566725774372,
Constant prices,1933,792.5748664241705,,304.4713904236807,,792.5748664241705,,304.4713904236807,
Constant prices,1934,671.999800025647,,511.3174333036505,,671.999800025647,,511.3174333036505,
Constant prices,1935,642.3469742501144,,533.5730201957991,,642.3469742501144,,533.5730201957991,
Constant prices,1936,699.4924861751475,,570.0422592207486,,699.4924861751475,,570.0422592207486,
Constant prices,1937,781.9705446236487,,658.5035415735747,,781.9705446236487,,658.5035415735747,
Constant prices,1938,701.0634968122619,,536.5653680132309,,701.0634968122619,,536.5653680132309,
