"record_id","admission_date_raw","indexed_end_date_raw","admission_date","indexed_end_date","elapsed_days","geography","population_boundary","elapsed_unit"
"smdswhr_876_87639","18050207","18050313","1805-02-07","1805-03-13","34","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_876_87640","18050207","18050313","1805-02-07","1805-03-13","34","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_900_90069","18050207","18050211","1805-02-07","1805-02-11","4","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_979_97998","18050207","18050525","1805-02-07","1805-05-25","107","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_967_96716","18050208","18050216","1805-02-08","1805-02-16","8","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_979_97999","18050208","18070713","1805-02-08","1807-07-13","885","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_1021_102139","18050209","18111227","1805-02-09","1811-12-27","2512","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_876_87641","18050209","18050430","1805-02-09","1805-04-30","80","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_935_93581","18050209","18050811","1805-02-09","1805-08-11","183","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_979_98000","18050209","18050209","1805-02-09","1805-02-09","0","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_935_93582","18050211","18050601","1805-02-11","1805-06-01","110","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_939_94007","18050211","18050227","1805-02-11","1805-02-27","16","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_967_96717","18050211","18050401","1805-02-11","1805-04-01","49","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_924_92438","18050212","18050315","1805-02-12","1805-03-15","31","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_946_94651","18050212","18051221","1805-02-12","1805-12-21","312","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_684_68431","18050213","18050213","1805-02-13","1805-02-13","0","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_684_68432","18050213","18120430","1805-02-13","1812-04-30","2633","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_884_88433","18050213","18050608","1805-02-13","1805-06-08","115","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_887_88784","18050213","18050215","1805-02-13","1805-02-15","2","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_909_90961","18050213","18090318","1805-02-13","1809-03-18","1494","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_909_90962","18050213","18050213","1805-02-13","1805-02-13","0","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_909_90963","18050213","18050520","1805-02-13","1805-05-20","96","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_909_90964","18050213","18070930","1805-02-13","1807-09-30","959","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_909_90965","18050213","18050831","1805-02-13","1805-08-31","199","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_909_90966","18050213","18050213","1805-02-13","1805-02-13","0","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_909_90967","18050214","18050520","1805-02-14","1805-05-20","95","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_979_98001","18050214","18050527","1805-02-14","1805-05-27","102","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_887_88785","18050215","18050321","1805-02-15","1805-03-21","34","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_852_85220","18050216","18050409","1805-02-16","1805-04-09","52","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_900_90070","18050216","18050618","1805-02-16","1805-06-18","122","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_900_90071","18050216","18050618","1805-02-16","1805-06-18","122","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_924_92439","18050216","18050322","1805-02-16","1805-03-22","34","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_967_96718","18050216","18050604","1805-02-16","1805-06-04","108","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_935_93583","18050219","18050315","1805-02-19","1805-03-15","24","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
