France 
,Current boundaries,,,1913 boundaries
,(millions $),,,(millions $)
,Imports ,Exports,,Imports ,Exports
1841,201.28963116296865,184.26389191563064,,201.28963116296865,184.26389191563064
1842,187.6974598193018,142.11106995525816,,187.6974598193018,142.11106995525816
1843,171.72790916390517,148.48315256233158,,171.72790916390517,148.48315256233158
1844,181.3429174825537,178.11584768938494,,181.3429174825537,178.11584768938494
1845,173.93970380812982,178.55895848261329,,173.93970380812982,178.55895848261329
1846,175.26406104390279,168.13154966525889,,175.26406104390279,168.13154966525889
1847,180.33491007831253,135.81708708826883,,180.33491007831253,135.81708708826883
1848,90.628323449711345,131.92730628755447,,90.628323449711345,131.92730628755447
1849,137.57257440593668,177.85625641430488,,137.57257440593668,177.85625641430488
1850,152.2298348217814,205.53914486682999,,152.2298348217814,205.53914486682999
1851,150.09447262270859,227.20182914653142,,150.09447262270859,227.20182914653142
1852,191.8964572695246,243.89671060444127,,191.8964572695246,243.89671060444127
1853,232.75688632291454,300.09290862034635,,232.75688632291454,300.09290862034635
1854,252.22179041221861,276.03839910439405,,252.22179041221861,276.03839910439405
1855,309.13287557054969,302.15120460408809,,309.13287557054969,302.15120460408809
1856,386.11505928853751,367.29437549407112,,386.11505928853751,367.29437549407112
1857,370.53522257898288,372.04674118999492,,370.53522257898288,372.04674118999492
1858,308.28747711169495,377.79911034153332,,308.28747711169495,377.79911034153332
1859,327.36754966360127,456.22022691986143,,327.36754966360127,456.22022691986143
1860,376.78403055743439,462.62549675725137,,376.78403055743439,462.62549675725137
1861,476.81113247778882,395.33523316880559,,476.81113247778882,395.33523316880559
1862,434.8105696955281,456.70778147795755,,434.8105696955281,456.70778147795755
1863,482.20243682167472,539.09709973857241,,482.20243682167472,539.09709973857241
1864,501.67887947082824,599.7136051808136,,501.67887947082824,599.7136051808136
1865,528.35484340888343,633.81792720200053,,528.35484340888343,633.81792720200053
1866,557.31910592345571,652.79186557090691,,557.31910592345571,652.79186557090691
1867,617.46763431025579,594.86700759533949,,617.46763431025579,594.86700759533949
1868,658.02296241856038,572.93096297473392,,658.02296241856038,572.93096297473392
1869,629.85028049265009,627.48053913388969,,629.85028049265009,627.48053913388969
1870,564.70278445846725,560.89216652776133,,564.70278445846725,560.89216652776133
1871,683.64627266674495,555.65726745779966,,683.64627266674495,555.65726745779966
1872,693.860380481682,740.97623558484349,,693.860380481682,740.97623558484349
1873,697.41240980446173,749.93679466498816,,697.41240980446173,749.93679466498816
1874,688.12812681145033,732.77626553380708,,688.12812681145033,732.77626553380708
1875,690.50673444263532,764.26400778364632,,690.50673444263532,764.26400778364632
1876,778.70158703071684,710.01696245733797,,778.70158703071684,710.01696245733797
1877,722.62225673042519,684.82598679763009,,722.62225673042519,684.82598679763009
1878,818.19171620440295,635.32651315266639,,818.19171620440295,635.32651315266639
1879,894.92822966507185,643.2535885167465,,894.92822966507185,643.2535885167465
1880,978.56459330143548,689.33971291866033,,978.56459330143548,689.33971291866033
1881,943.60970589399528,704.99268099592302,,943.60970589399528,704.99268099592302
1882,949.29332042594388,718.97386253630202,,949.29332042594388,718.97386253630202
1883,943.04213374565143,693.69926555856205,,943.04213374565143,693.69926555856205
1884,852.43173153219402,648.8939637320741,,852.43173153219402,648.8939637320741
1885,797.64501495994602,614.28433548885255,,797.64501495994602,614.28433548885255
1886,826.17308887507784,649.37461155997516,,826.17308887507784,649.37461155997516
1887,785.97736169228097,646.17520584662259,,785.97736169228097,646.17520584662259
1888,804.62650602409633,648.28915662650604,,804.62650602409633,648.28915662650604
1889,849.6301746505053,740.03795066413659,,849.6301746505053,740.03795066413659
1890,870.60826497446214,752.78594644791826,,870.60826497446214,752.78594644791826
1891,938.25537098988661,719.93502600893396,,938.25537098988661,719.93502600893396
1892,824.93214424195435,692.9042264443583,,824.93214424195435,692.9042264443583
1893,759.40039172338902,649.05850640913764,,759.40039172338902,649.05850640913764
1894,761.81423139598053,624.07852874990306,,761.81423139598053,624.07852874990306
1895,742.67050314954508,687.4562563185317,,742.67050314954508,687.4562563185317
1896,763.92665682542145,694.77896045373313,,763.92665682542145,694.77896045373313
1897,778.08792742498247,715.08878033651229,,778.08792742498247,715.08878033651229
1898,879.36605631635643,703.76211724880761,,879.36605631635643,703.76211724880761
1899,899.37787395185273,840.44978554039949,,899.37787395185273,840.44978554039949
1900,937.94814154490143,835.23894422696799,,937.94814154490143,835.23894422696799
1901,874.41029722961036,814.03249917490143,,874.41029722961036,814.03249917490143
1902,880.88438149637659,862.23310213518289,,880.88438149637659,862.23310213518289
1903,955.73849878934629,859.27360774818408,,955.73849878934629,859.27360774818408
1904,899.77331292503834,898.99831437816056,,899.77331292503834,898.99831437816056
1905,958.93860158822406,985.47356188262654,,958.93860158822406,985.47356188262654
1906,1120.0417334853255,1065.5563498657184,,1120.0417334853255,1065.5563498657184
1907,1234.6036526506814,1127.2636009112321,,1234.6036526506814,1127.2636009112321
1908,1122.7961645530468,1018.7905969687597,,1122.7961645530468,1018.7905969687597
1909,1244.1541375178756,1152.9393576315076,,1244.1541375178756,1152.9393576315076
1910,1420.5127214419565,1253.5981299383729,,1420.5127214419565,1253.5981299383729
1911,1589.2877800485869,1219.1030733042842,,1589.2877800485869,1219.1030733042842
1912,1625.2703955500617,1346.7629789864029,,1625.2703955500617,1346.7629789864029
1913,1665.0902422546087,1383.2641636907636,,1665.0902422546087,1383.2641636907636
1914,1275.3894080996884,977.49221183800614,,1275.3894080996884,977.49221183800614
1915,1897.1589936676367,688.01985281533462,,1897.1589936676367,688.01985281533462
1916,3549.8629667694413,1088.8831791709488,,3549.8629667694413,1088.8831791709488
1917,4836.6118305915297,1076.828841442072,,4836.6118305915297,1076.828841442072
1918,4102.5509267755551,881.11580106441545,,4102.5509267755551,881.11580106441545
1919,3315.2310536044365,1106.9500924214419,,3315.2310536044365,1106.9500924214419
1920,3506.0264586000003,1899.7304744400001,,3506.0264586000003,1899.7304744400001
1921,1626.7448224499999,1420.5859878799999,,1626.7448224499999,1420.5859878799999
1922,2009.6867837699999,1779.72555642,,2009.6867837699999,1779.72555642
1923,2028.2113194200001,1918.075302,,2028.2113194200001,1918.075302
1924,2141.5527715500002,2270.1540852000003,,2141.5527715500002,2270.1540852000003
1925,2155.4484067800004,2250.8280495000004,,2155.4484067800004,2250.8280495000004
1926,1969.6127539899999,1984.0620097200001,,1969.6127539899999,1984.0620097200001
1927,2117.4676511399998,2207.7529855199996,,2117.4676511399998,2207.7529855199996
1928,2139.9568041599996,2074.9634315199996,,2139.9568041599996,2074.9634315199996
1929,2337.5324211120001,2041.442709096,,2337.5324211120001,2041.442709096
1930,2058.4312,1679.1319999999998,,2058.4312,1679.1319999999998
1931,1654.4751999999999,1193.0911999999998,,1654.4751999999999,1193.0911999999998
