France 
,Current boundaries,,,1913 boundaries
,(millions 1913 $),,,(millions 1913 $)
,Imports ,Exports,,Imports ,Exports
1876,707.37835824836611,677.93166682752633,,707.37835824836611,677.93166682752633
1877,667.70507747247461,665.35083486149995,,667.70507747247461,665.35083486149995
1878,802.90414013303439,649.56692274857051,,802.90414013303439,649.56692274857051
1879,902.61557764694533,655.39927002554725,,902.61557764694533,655.39927002554725
1880,947.49155486922109,688.308464433935,,947.49155486922109,688.308464433935
1881,923.93094149681349,711.86178940256741,,923.93094149681349,711.86178940256741
1882,936.69579718552041,724.13721786369217,,936.69579718552041,724.13721786369217
1883,982.80928062172939,714.47977994402083,,982.80928062172939,714.47977994402083
1884,949.09039488421479,696.46017884793741,,949.09039488421479,696.46017884793741
1885,911.5943028113669,683.3050473415326,,911.5943028113669,683.3050473415326
1886,949.72644171900424,734.42185383517108,,949.72644171900424,734.42185383517108
1887,944.15596950101326,744.62822345872155,,944.15596950101326,744.62822345872155
1888,966.85648103464916,738.70515760361309,,966.85648103464916,738.70515760361309
1889,968.02570077350515,811.54328732747808,,968.02570077350515,811.54328732747808
1890,992.73374053800671,826.19438278158498,,992.73374053800671,826.19438278158498
1891,1138.1336291521641,799.40442172407552,,1138.1336291521641,799.40442172407552
1892,1065.5342148441271,794.18122072261133,,1065.5342148441271,794.18122072261133
1893,994.07551764850564,735.19065194745554,,994.07551764850564,735.19065194745554
1894,1086.1396136775829,758.97864856459591,,1086.1396136775829,758.97864856459591
1895,1072.5535443226786,855.35949684735488,,1072.5535443226786,855.35949684735488
1896,1121.2698506975119,876.37070968795717,,1121.2698506975119,876.37070968795717
1897,1144.3623647851036,892.37024430709619,,1144.3623647851036,892.37024430709619
1898,1245.9392404775826,874.04931956374878,,1245.9392404775826,874.04931956374878
1899,1181.6704633947381,977.98872468589809,,1181.6704633947381,977.98872468589809
1900,1135.318789178993,957.72833276845415,,1135.318789178993,957.72833276845415
1901,1143.3391551299462,953.9137148923852,,1143.3391551299462,953.9137148923852
1902,1135.4012056646936,1009.6515780330087,,1135.4012056646936,1009.6515780330087
1903,1203.0539624807607,997.32367418543538,,1203.0539624807607,997.32367418543538
1904,1103.309006407163,1055.6068774387472,,1103.309006407163,1055.6068774387472
1905,1146.8391081941897,1130.6082963169129,,1146.8391081941897,1130.6082963169129
1906,1220.7315896149023,1171.0259627449088,,1220.7315896149023,1171.0259627449088
1907,1316.7326191165589,1226.1979888656854,,1316.7326191165589,1226.1979888656854
1908,1312.5392830996163,1119.0039571469936,,1312.5392830996163,1119.0039571469936
1909,1403.5620000340648,1239.2500304234527,,1403.5620000340648,1239.2500304234527
1910,1465.1469063578993,1291.7249782839497,,1465.1469063578993,1291.7249782839497
1911,1642.4868691837567,1232.993033136428,,1642.4868691837567,1232.993033136428
1912,1641.4591154074744,1359.743858937263,,1641.4591154074744,1359.743858937263
1913,1665.0902422546087,1383.2641636907636,,1665.0902422546087,1383.2641636907636
1914,1190.0554681866956,949.90563432368731,,1190.0554681866956,949.90563432368731
1915,1387.9616128047746,498.86111379210496,,1387.9616128047746,498.86111379210496
1916,1820.0896453205173,754.54130725528887,,1820.0896453205173,754.54130725528887
1917,1822.5300804653091,522.59820480648591,,1822.5300804653091,522.59820480648591
1918,1362.6890312355547,298.86491783426135,,1362.6890312355547,298.86491783426135
1919,1960.8344088152223,596.05672714988907,,1960.8344088152223,596.05672714988907
1920,1852.0488219584383,1129.5832221509395,,1852.0488219584383,1129.5832221509395
1921,1342.0629209584631,1113.4683972724586,,1342.0629209584631,1113.4683972724586
1922,1784.2765574524378,1160.6678244965678,,1784.2765574524378,1160.6678244965678
1923,1804.6899915949673,1397.4278544542035,,1804.6899915949673,1397.4278544542035
1924,1908.5331104901989,1621.8225195444456,,1908.5331104901989,1621.8225195444456
1925,2090.3278913034951,1696.741975583685,,2090.3278913034951,1696.741975583685
1926,2327.2216298215581,1704.0141470944848,,2327.2216298215581,1704.0141470944848
1927,2444.9100121100178,1726.7115322265577,,2444.9100121100178,1726.7115322265577
1928,2680.0332505953452,1716.0272430924242,,2680.0332505953452,1716.0272430924242
1929,2983.2526767759105,1778.9492815269541,,2983.2526767759105,1778.9492815269541
1930,2759.2949667555049,1743.0898204476728,,2759.2949667555049,1743.0898204476728
1931,2648.3590892779666,1519.38505915515,,2648.3590892779666,1519.38505915515
1932,2218.3359339043859,1165.6290746115774,,2218.3359339043859,1165.6290746115774
1933,2309.3275801169366,1194.2883539644429,,2309.3275801169366,1194.2883539644429
1934,2007.8522031750028,1224.120788623047,,2007.8522031750028,1224.120788623047
1935,1892.5549059558409,1137.1304069799071,,1892.5549059558409,1137.1304069799071
