year,foreignTradeValueAddedCurrentPrices,foreignTradeValueAddedCurrentPrices_state,domesticTradeValueAddedCurrentPrices,domesticTradeValueAddedCurrentPrices_state,maritimeShippingValueAddedCurrentPrices,maritimeShippingValueAddedCurrentPrices_state,internationalRiverShippingValueAddedCurrentPrices,internationalRiverShippingValueAddedCurrentPrices_state,railwaysValueAddedCurrentPrices,railwaysValueAddedCurrentPrices_state,inlandNavigationValueAddedCurrentPrices,inlandNavigationValueAddedCurrentPrices_state,otherTransportValueAddedCurrentPrices,otherTransportValueAddedCurrentPrices_state,communicationValueAddedCurrentPrices,communicationValueAddedCurrentPrices_state,bankingValueAddedCurrentPrices,bankingValueAddedCurrentPrices_state,insuranceValueAddedCurrentPrices,insuranceValueAddedCurrentPrices_state,governmentValueAddedCurrentPrices,governmentValueAddedCurrentPrices_state,educationValueAddedCurrentPrices,educationValueAddedCurrentPrices_state,remainingSocialServicesValueAddedCurrentPrices,remainingSocialServicesValueAddedCurrentPrices_state,domesticServantsValueAddedCurrentPrices,domesticServantsValueAddedCurrentPrices_state,cateringValueAddedCurrentPrices,cateringValueAddedCurrentPrices_state,housingValueAddedCurrentPrices,housingValueAddedCurrentPrices_state,servicesTotalValueAddedCurrentPrices,servicesTotalValueAddedCurrentPrices_state
1820,46.16018839827006,,20.82008689166105,,6.532987790918224,,2.9731674604293925,,,blank,42.214923250845146,,11.638682493309322,,0.9291545768607165,,,blank,,blank,24.318042944335183,,,blank,,blank,,blank,,blank,20.496917457310925,,216.48728099443647,
1821,41.896853719768096,,20.263990940291453,,5.065922699132584,,2.7811430948568474,,,blank,40.60663222561737,,11.062719433165887,,0.8246562115274704,,,blank,,blank,23.637911214628488,,,blank,,blank,,blank,,blank,20.92677890216112,,205.69394785988965,
1822,43.3425473346201,,18.169819000185953,,5.959267143607063,,2.1586444518872216,,,blank,40.271467542963585,,11.264711971299608,,0.8397332747779338,,,blank,,blank,24.475846257257253,,,blank,,blank,,blank,,blank,21.304099190358404,,206.87709813725763,
1823,47.28686024790914,,21.43406491436479,,7.1058959858814195,,3.0549680090595213,,,blank,39.68458350984519,,11.939508873641673,,0.8822133760784264,,,blank,,blank,25.887491955924926,,,blank,,blank,,blank,,blank,21.659318574183253,,220.94322287130146,
1824,43.78697096490907,,19.124523519451532,,6.004758376558798,,3.1595602714697417,,,blank,38.26520180732537,,11.317185561090469,,0.8887868894784475,,,blank,,blank,28.50849474774904,,,blank,,blank,,blank,,blank,22.245455921417623,,214.29924274415697,
1825,49.534546399123286,,20.54485633329509,,7.3086119863845385,,3.114044196124147,,,blank,37.4090825393873,,11.58536646543207,,0.8973915442127007,,,blank,,blank,28.3049615356125,,,blank,,blank,,blank,,blank,22.796119097020735,,224.76222538443656,
1826,52.02506313137192,,19.581187356268234,,9.120979278113332,,2.867766015596016,,,blank,29.042157120848824,,10.938436474808043,,0.896219344444177,,,blank,,blank,27.590723642434526,,,blank,,blank,,blank,,blank,23.127721945748796,,217.27639819510128,
1827,56.430425040224335,,21.462687502132134,,6.634173352315968,,2.58420444818843,,,blank,28.217924484982657,,11.460683691017884,,0.8916261021744187,,,blank,,blank,28.342444538307195,,,blank,,blank,,blank,,blank,23.439365350289364,,222.90904859972474,
1828,57.730724982460366,,20.851825818910296,,8.218747077080005,,2.665082093428867,,,blank,28.701229089572408,,11.534516428726857,,0.8940237234801963,,,blank,,blank,27.960991106569274,,,blank,,blank,,blank,,blank,23.927939695514212,,227.00359097025213,
1829,61.416407977936984,,21.244939488090722,,8.007078411565807,,2.469914902397459,,,blank,26.906088387614258,,11.974871871636656,,0.895716255953772,,,blank,,blank,25.397855251908943,,,blank,,blank,,blank,,blank,24.15227867740018,,227.32345022426045,
1830,58.92230429381826,,17.966825652201578,,9.667894271199467,,2.404604026487952,,,blank,27.75243372739146,,11.267956412037707,,1.00323801524518,,2.621690130233663,,1.1256942073290823,,17.34512652109937,,2.1688807008599786,,10.657567892637843,,15.752362249885428,,9.97486919914973,,24.409003720410425,,213.04045101998713,
1831,63.286600878202925,,21.523610791261092,,11.132987270713087,,1.7774546292188453,,,blank,28.15284331222895,,12.08605014231873,,1.1838029806340062,,,blank,,blank,36.813201426632375,,,blank,,blank,,blank,,blank,24.190685968998235,,249.02410953177636,
1832,63.67289279827882,,27.383285584122454,,10.25936802606315,,2.7355877572839042,,,blank,39.32399334536967,,14.172164159637367,,1.2518143561501323,,,blank,,blank,41.91828650147309,,,blank,,blank,,blank,,blank,23.998953708448234,,278.8095095814476,
1833,49.98717902295115,,20.925084308945728,,8.082385549423094,,2.495925045528955,,,blank,36.50819565953172,,11.785043737377599,,1.1528440456748297,,,blank,,blank,37.51647759890659,,,blank,,blank,,blank,,blank,24.243757525405695,,238.42189263754355,
