year,foreignTradeValueAddedCurrentPrices,foreignTradeValueAddedCurrentPrices_state,domesticTradeValueAddedCurrentPrices,domesticTradeValueAddedCurrentPrices_state,maritimeShippingValueAddedCurrentPrices,maritimeShippingValueAddedCurrentPrices_state,internationalRiverShippingValueAddedCurrentPrices,internationalRiverShippingValueAddedCurrentPrices_state,railwaysValueAddedCurrentPrices,railwaysValueAddedCurrentPrices_state,inlandNavigationValueAddedCurrentPrices,inlandNavigationValueAddedCurrentPrices_state,otherTransportValueAddedCurrentPrices,otherTransportValueAddedCurrentPrices_state,communicationValueAddedCurrentPrices,communicationValueAddedCurrentPrices_state,bankingValueAddedCurrentPrices,bankingValueAddedCurrentPrices_state,insuranceValueAddedCurrentPrices,insuranceValueAddedCurrentPrices_state,governmentValueAddedCurrentPrices,governmentValueAddedCurrentPrices_state,educationValueAddedCurrentPrices,educationValueAddedCurrentPrices_state,remainingSocialServicesValueAddedCurrentPrices,remainingSocialServicesValueAddedCurrentPrices_state,domesticServantsValueAddedCurrentPrices,domesticServantsValueAddedCurrentPrices_state,cateringValueAddedCurrentPrices,cateringValueAddedCurrentPrices_state,housingValueAddedCurrentPrices,housingValueAddedCurrentPrices_state,servicesTotalValueAddedCurrentPrices,servicesTotalValueAddedCurrentPrices_state
1901,144.32019591369823,,109.88611343071537,,15.324117062740353,,6.073592049407894,,31.978835302092367,,14.582568876232191,,,blank,10.231300014416362,,,blank,,blank,56.02408676758288,,24.756711880553077,,,blank,52.89152001624736,,,blank,115.81263404565487,,733.2353342800365,
1902,148.53610615889193,,110.58921759665415,,12.11523607255721,,6.735693425510465,,33.31709023235196,,15.845284186979695,,,blank,10.817634911647305,,,blank,,blank,56.5648438796117,,26.268738940260064,,,blank,52.73959298764689,,,blank,118.97374978533472,,748.9922122276873,
1903,148.5657303156452,,112.14345999807767,,12.957082187554493,,5.9310501830870805,,34.50007883885422,,13.296098098564215,,,blank,11.413489128639883,,,blank,,blank,59.692790697425814,,27.188010746162405,,,blank,54.42491205743934,,,blank,122.6214226180958,,764.3839222573324,
1904,147.19135329383556,,118.65780602935013,,14.71349147657009,,8.901010164283827,,36.538442381181824,,19.636735652508044,,,blank,11.827850282394714,,,blank,,blank,61.36617259295694,,28.201137177719794,,,blank,58.564868067909764,,,blank,126.54376785130502,,804.3066192307018,
1905,166.84478341073202,,112.56161890167375,,16.45162048628439,,8.530050114686318,,38.292381677272665,,18.31507243135952,,,blank,12.70722254604294,,,blank,,blank,63.94079914975219,,28.804674192677446,,,blank,60.517494560460676,,,blank,130.58727651074165,,839.4216561086575,
1906,176.93673632805536,,123.30201525044218,,17.346451059138115,,15.022783862126554,,40.82713466004486,,32.65590997148503,,,blank,12.804331004994426,,,blank,,blank,65.70124971760634,,30.00349657509,,,blank,62.72118610847057,,,blank,135.18107762280738,,912.643243722156,
1907,160.96706144831882,,131.19610459207422,,18.74492883880507,,11.489945178891983,,42.40668595803188,,23.226033346146266,,,blank,13.301237783052324,,,blank,,blank,67.48192304062228,,31.188527762295152,,,blank,68.07439594921016,,,blank,140.04803606999104,,910.1496319831772,
1908,139.7670478168358,,133.86948262528486,,15.743492077773295,,9.130834775628324,,43.72223858086993,,19.160667747585844,,,blank,13.594960162206293,,,blank,,blank,69.68044298307684,,34.068302668706735,,,blank,69.52040061638215,,,blank,143.2815764737998,,891.9313999047815,
1909,163.04503574601986,,137.18188643155526,,20.49880365336033,,7.100366056461789,,45.16516016821586,,14.60020929898927,,,blank,14.295707660087595,,,blank,,blank,70.03816625509496,,37.888677019504314,,,blank,71.56837342560061,,,blank,146.7574479436466,,942.4636763676215,
1910,173.97285956399807,,145.63343558862195,,26.007094428507255,,7.90138973109621,,47.54677534106565,,14.30987641223794,,,blank,15.152679032957261,,,blank,,blank,71.95210771503685,,40.38116201131771,,,blank,72.19112598855601,,,blank,151.33117358436564,,995.5277998278442,
1911,196.19534048518815,,165.32073626563627,,32.90614661477824,,14.29075923576458,,50.98885827737023,,25.71983252768095,,,blank,15.909308853965493,,,blank,,blank,76.1004213295729,,42.66355836351404,,,blank,74.38138888026373,,,blank,156.51333181805748,,1109.4762335972223,
1912,215.29313912025273,,175.20873428431167,,43.8903680908536,,12.09955947393347,,54.8569791582094,,22.384490064225787,,,blank,16.92942341121937,,,blank,,blank,80.83122906518764,,45.709443224081134,,,blank,78.89166118771304,,,blank,162.4118194770502,,1188.8619080877568,
1913,235.49695367647058,,181.50304632352942,,44.90617530284583,,11.740524920863459,,58.20043904,,19.2472,,90.9,,18.060084,,35,,7,,85.25269274,,48.40001783854151,,125,,78.67471915382872,,40.1,,169,,1248.4818529960794,
