year,miningValueAddedCurrentPrices,ceramicsAndGlassValueAddedCurrentPrices,ceramicsAndGlassValueAddedCurrentPrices_state,diamondCuttingValueAddedCurrentPrices,diamondCuttingValueAddedCurrentPrices_state,paperValueAddedCurrentPrices,printingValueAddedCurrentPrices,printingValueAddedCurrentPrices_state,woodworkingValueAddedCurrentPrices,woodworkingValueAddedCurrentPrices_state,foodstuffsValueAddedCurrentPrices,textilesValueAddedCurrentPrices,clothingValueAddedCurrentPrices,leatherValueAddedCurrentPrices,chemicalsValueAddedCurrentPrices,metalsAndEngineeringValueAddedCurrentPrices,shipbuildingValueAddedCurrentPrices,utilitiesValueAddedCurrentPrices,constructionValueAddedCurrentPrices,industryTotalValueAddedCurrentPrices
1832,2.641365618450398,,blank,,blank,0.7573843212342852,,blank,,blank,32.445223018339846,14.842726333943801,42.44404456710445,8.677777777777777,1.712586056386056,2.4421916152745347,2.7768165620232543,0.21963411551384893,15.45,132.0115443298021
1833,2.611469837498208,,blank,,blank,0.7710869421073471,,blank,,blank,32.18928106353991,15.546156138240654,35.18264193485771,13.148148148148147,2.011986249655575,2.81439242439088,2.870826784571124,0.24463675299694418,14.831999999999999,129.69078105654322
1834,2.8691464373176068,,blank,,blank,0.8311638947741931,,blank,,blank,36.32009934604979,15.738718497275599,38.12708355731519,12.885185185185184,2.0944594212107406,2.8431211972478287,2.9804647190748694,0.30550669709075595,15.45,138.41551135002177
1835,3.0511424179418984,,blank,,blank,0.817315964674272,,blank,,blank,41.3893520924526,22.089884259314456,35.16092858958746,12.885185185185184,2.1772182000950684,2.4308931551464923,3.0900060639167632,0.4414607907459733,16.4388,148.52489080698842
1836,3.286955848012637,,blank,,blank,0.7944223685183646,,blank,,blank,46.79720904734071,27.6604624915353,35.34366748062929,14.462962962962962,2.3726144897407013,3.70616346708573,3.3947848352552574,0.5587559848301464,17.7984,165.71922714248214
1837,3.628629250440325,,blank,,blank,0.7524264723852352,,blank,,blank,46.6027470999642,30.03859346941796,34.52261168787683,13.148148148148147,2.2643267838924994,3.4826922780785354,3.699733257666489,0.5903368934543507,18.0456,166.3553014087675
1838,4.165163176379359,,blank,,blank,0.7487809952903455,,blank,,blank,49.81064010450014,37.587307128759,30.085970858203652,16.566666666666663,2.088786293674322,3.762286638151645,3.9916569356758287,0.6149735300545001,17.922,177.56944730374258
1839,4.264890081296109,,blank,,blank,0.7208489144499164,,blank,,blank,52.78129644224941,34.14932181532807,30.58386356858508,12.096296296296295,2.0043797880822507,4.643040374630526,4.314682484801154,0.6292724029138169,17.7984,174.00632732182981
1840,4.1846111210184285,,blank,,blank,0.6900280626476671,,blank,,blank,58.089763888694364,37.566037752465455,30.106901525321835,9.72962962962963,2.130893963897134,5.03886561510298,4.60900480607979,0.6906650439697087,17.304,180.5364703762405
1841,3.7882677320069567,,blank,,blank,0.6816925292546031,,blank,,blank,63.1565258485745,38.25648683736635,32.80784830106423,10.78148148148148,2.1415082034059996,4.780626663358465,4.8690600873233265,0.7261462224391174,18.7872,191.822830170555
1842,3.8409610545134085,,blank,,blank,0.6426281732363007,,blank,,blank,61.48737617855576,40.09937144450487,21.30817900114475,11.57037037037037,2.3663433304852237,3.276672618308335,4.197981121692313,0.781176969311411,15.8208,175.49777967747823
1843,3.4374963149737185,,blank,,blank,0.5906094113990275,,blank,,blank,53.70492915548939,37.52146810851179,21.41894221546661,9.99259259259259,2.253529368218321,3.0116296544987704,3.8843928778614187,0.7884484811259715,15.079199999999998,160.95152127024383
1844,3.6068710332265046,,blank,,blank,0.609988014615986,,blank,,blank,56.248085869884044,31.133337778959866,17.976074062447754,8.94074074074074,2.2446546558254212,3.610264604579026,3.1136569094512523,0.8928559222864159,16.4388,153.66396367017322
1845,3.54049538421637,,blank,,blank,0.6054961750067582,,blank,,blank,63.93050679085935,35.52636901320898,17.537005781054575,11.044444444444444,2.093882983467561,5.039338191035442,3.2170066093027048,1.1067707044807895,18.4164,171.95990967182772
1846,4.108717712131594,,blank,,blank,0.5953281765646946,,blank,,blank,61.58392937038127,35.321832228164816,20.621154664091236,7.625925925925925,1.996219303309478,6.6121634606711375,3.5275398954953148,1.2515501140284306,17.922,171.01409007179456
